,pefr_am,pefr_pm,pefr_other
count,162.0,177.0,0.0
min,250.0,250.0,
median,370.0,380.0,
max,420.0,440.0,
mean,369.25925925925924,378.3220338983051,
sum,59820.0,66963.0,0.0
std,27.454905082208064,24.72233626091226,
skew,-1.2725101391380622,-1.4636815321952354,
