,pefr_am,pefr_pm,pefr_other
count,644.0,643.0,49.0
min,330.0,30.0,370.0
median,380.0,380.0,387.1428571428572
max,430.0,410.0,390.0
mean,380.2950310559006,380.47433903576984,382.7551020408163
sum,244910.0,244645.0,18755.0
std,15.602775519811187,19.976775366859034,7.846566881109722
skew,-0.7100197105078226,-8.727715882874541,-0.35817857334659625
