,pefr_am,pefr_pm,pefr_other
count,593.0,593.0,593.0
min,200.0,200.0,115.0
median,320.0,300.0,260.0
max,450.0,450.0,400.0
mean,326.31197301854974,313.18718381112984,267.15008431703205
sum,193503.0,185720.0,158420.0
std,44.216293648917784,45.92616725213256,53.232154841041776
skew,0.5418056838279753,0.6564672201336711,0.3301215915841947
